[2026-01-15 12:16:22,615] INFO in server: Request: GET /source/files/logo.jpg from 172.19.0.1
[2026-01-15 12:16:22,617] INFO in server: Request: GET /source/files/tg.png from 172.19.0.1
[2026-01-15 12:16:22,616] INFO in server: Request: GET /source/files/yt.png from 172.19.0.1
[2026-01-15 12:16:22,619] INFO in server: Request: GET /source/images/laptop.png from 172.19.0.1
[2026-01-15 12:16:22,624] INFO in server: Request: GET /source/images/gaming pc.png from 172.19.0.1
[2026-01-15 12:16:22,627] INFO in server: Request: GET /source/images/vr.png from 172.19.0.1
[2026-01-15 12:16:22,630] INFO in server: Request: GET /source/images/acc.png from 172.19.0.1
[2026-01-15 12:16:22,631] INFO in server: Request: GET /source/images/controller.png from 172.19.0.1
[2026-01-15 12:16:22,635] INFO in server: Request: GET /source/images/cpu.png from 172.19.0.1
[2026-01-15 12:16:22,637] INFO in server: Request: GET /source/images/gpu.png from 172.19.0.1
[2026-01-15 12:16:22,641] INFO in server: Request: GET /source/images/other.png from 172.19.0.1
[2026-01-15 12:16:22,642] INFO in server: Request: GET /source/files/phone.png from 172.19.0.1
[2026-01-15 12:16:23,680] INFO in server: Request: GET /home from 172.19.0.1
[2026-01-15 12:16:23,724] INFO in server: Request: GET /source/styles/mycss.css from 172.19.0.1
[2026-01-15 12:16:23,728] INFO in server: Request: GET /source/files/yt.png from 172.19.0.1
[2026-01-15 12:16:23,731] INFO in server: Request: GET /source/files/logo.jpg from 172.19.0.1
[2026-01-15 12:16:23,736] INFO in server: Request: GET /source/files/test_logo.png from 172.19.0.1
[2026-01-15 12:16:23,736] INFO in server: Request: GET /source/files/tg.png from 172.19.0.1
[2026-01-15 12:16:24,457] INFO in server: Request: GET /auth/login from 172.19.0.1
[2026-01-15 12:16:28,090] INFO in server: Request: GET / from 172.19.0.1
[2026-01-15 12:16:28,143] INFO in server: Request: GET /source/styles/mycss.css from 172.19.0.1
[2026-01-15 12:16:28,147] INFO in server: Request: GET /source/styles/bgvideo.css from 172.19.0.1
[2026-01-15 12:16:28,153] INFO in server: Request: GET /source/files/logo.jpg from 172.19.0.1
[2026-01-15 12:16:28,154] INFO in server: Request: GET /source/files/tg.png from 172.19.0.1
[2026-01-15 12:16:28,156] INFO in server: Request: GET /source/images/controller.png from 172.19.0.1
[2026-01-15 12:16:28,158] INFO in server: Request: GET /source/files/yt.png from 172.19.0.1
[2026-01-15 12:16:28,161] INFO in server: Request: GET /source/images/acc.png from 172.19.0.1
[2026-01-15 12:16:28,163] INFO in server: Request: GET /source/images/cpu.png from 172.19.0.1
[2026-01-15 12:16:28,167] INFO in server: Request: GET /source/images/gpu.png from 172.19.0.1
[2026-01-15 12:16:28,168] INFO in server: Request: GET /source/images/gaming pc.png from 172.19.0.1
[2026-01-15 12:16:28,169] INFO in server: Request: GET /source/images/laptop.png from 172.19.0.1
[2026-01-15 12:16:28,170] INFO in server: Request: GET /source/images/other.png from 172.19.0.1
[2026-01-15 12:16:28,182] INFO in server: Request: GET /source/images/vr.png from 172.19.0.1
[2026-01-15 12:16:28,193] INFO in server: Request: GET /source/files/phone.png from 172.19.0.1
[2026-01-15 12:16:28,206] INFO in server: Request: GET /source/files/bgvideo.mp4 from 172.19.0.1
[2026-01-15 15:23:54,335] INFO in logger: Logger initialized
[2026-01-15 13:24:06,897] INFO in logger: Logger initialized
[2026-01-15 13:24:07,513] INFO in logger: Logger initialized
[2026-01-15 13:24:08,180] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 13:24:08,189] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 13:24:08,197] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 13:24:08,203] INFO in server: Request: GET / from 172.19.0.1
[2026-01-15 13:24:08,235] INFO in server: Request: GET /home from 172.19.0.1
[2026-01-15 13:24:08,249] INFO in server: Request: GET /pricing from 172.19.0.1
[2026-01-15 13:24:18,034] INFO in logger: Logger initialized
[2026-01-15 13:24:18,636] INFO in logger: Logger initialized
[2026-01-15 13:24:19,319] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 13:24:19,326] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 13:24:19,334] INFO in server: Request: GET /api/cart from 172.19.0.1
[2026-01-15 13:24:19,340] INFO in server: Request: GET /auth/login from 172.19.0.1
